Datetime,RUN_EXCEPTION,RUN_TIMEOUT,RUN_DONE,RUN_SYS_ERROR,RUN_USER_EXCEPTION_NO_RETRY,RUN_USER_EXCEPTION_RESTART_PROCESS,RUN_USER_EXCEPTION_STOP_PROCESS,RUN_USER_EXCEPTION_SLEEP_ONLY
2026-08-11T02:33:41.933451,0,0,0,0,0,0,0,0
2026-08-11T02:34:41.936280,0,0,0,0,0,0,0,0
2026-08-11T02:35:41.938313,0,0,0,0,0,0,0,0
2026-08-11T02:36:41.940111,0,0,0,0,0,0,0,0
2026-08-11T02:37:41.941804,0,0,0,0,0,0,0,0
2026-08-11T02:38:41.943588,0,0,0,0,0,0,0,0
2026-08-11T02:39:41.945367,0,0,0,0,0,0,0,0
2026-08-11T02:40:41.947213,0,0,0,0,0,0,0,0
2026-08-11T02:41:41.948831,0,0,0,0,0,0,0,0
2026-08-11T02:42:41.950610,0,0,0,0,0,0,0,0
2026-08-11T02:43:41.952379,0,0,0,0,0,0,0,0
2026-08-11T02:44:41.954154,0,0,0,0,0,0,0,0
