Datetime,RUN_EXCEPTION,RUN_TIMEOUT,RUN_DONE,RUN_SYS_ERROR,RUN_USER_EXCEPTION_NO_RETRY,RUN_USER_EXCEPTION_RESTART_PROCESS,RUN_USER_EXCEPTION_STOP_PROCESS,RUN_USER_EXCEPTION_SLEEP_ONLY
2026-08-11T03:13:22.627821,0,0,0,0,0,0,0,0
2026-08-11T03:14:22.629455,3,0,0,0,0,0,0,0
2026-08-11T03:14:51.056857,3,0,0,0,0,0,0,0
