Datetime,RUN_EXCEPTION,RUN_TIMEOUT,RUN_DONE,RUN_SYS_ERROR,RUN_USER_EXCEPTION_NO_RETRY,RUN_USER_EXCEPTION_RESTART_PROCESS,RUN_USER_EXCEPTION_STOP_PROCESS,RUN_USER_EXCEPTION_SLEEP_ONLY
2026-08-11T01:49:17.285292,0,0,0,0,0,0,0,0
2026-08-11T01:50:17.286863,0,0,0,0,0,0,0,0
2026-08-11T01:51:17.288416,0,0,0,0,0,0,0,0
2026-08-11T01:52:17.289868,0,0,0,0,0,0,0,0
2026-08-11T01:53:17.291340,0,0,0,0,0,0,0,0
2026-08-11T01:54:17.292765,0,0,0,0,0,0,0,0
2026-08-11T01:55:17.294600,0,0,0,0,0,0,0,0
2026-08-11T01:56:17.296134,0,0,0,0,0,0,0,0
2026-08-11T01:57:17.297456,0,0,0,0,0,0,0,0
2026-08-11T01:58:17.299290,0,0,0,0,0,0,0,0
2026-08-11T01:59:17.301037,0,0,0,0,0,0,0,0
2026-08-11T02:00:17.302554,0,0,0,0,0,0,0,0
